experiment,attack_type,attack_strength,dataset,task,student_base,student_lineage,teacher_family,seed,evasion_attack,detection_method,method,auroc,tpr_at_1pct_fpr,fpr_zero,fpr0,ci_low,ci_high,n_students,threshold_source,source_run_id,source_attachment
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.53,0.021,0.808,0.808,0.511,0.549,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.529,0.02,0.809,0.809,0.51,0.548,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.999,0.998,0.0,0.0,0.992,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.998,0.997,0.001,0.001,0.991,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.521,0.018,0.814,0.814,0.502,0.54,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.52,0.018,0.815,0.815,0.501,0.539,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.985,0.975,0.002,0.002,0.971,0.999,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.984,0.973,0.003,0.003,0.97,0.998,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.502,0.01,0.854,0.854,0.483,0.521,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.502,0.01,0.855,0.855,0.483,0.521,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.952,0.92,0.005,0.005,0.938,0.966,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.951,0.919,0.006,0.006,0.937,0.965,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,Base-Relative,Base-relative,0.515,0.015,0.82,0.82,0.496,0.534,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,Base-Relative,Base-relative,0.514,0.014,0.821,0.821,0.495,0.533,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.978,0.962,0.003,0.003,0.964,0.992,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.977,0.96,0.004,0.004,0.963,0.991,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,Base-Relative,Base-relative,0.51,0.012,0.832,0.832,0.491,0.529,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,Base-Relative,Base-relative,0.509,0.012,0.833,0.833,0.49,0.528,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.965,0.945,0.004,0.004,0.951,0.979,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.964,0.943,0.005,0.005,0.95,0.978,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.528,0.02,0.81,0.81,0.509,0.547,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.528,0.02,0.811,0.811,0.509,0.547,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.992,0.984,0.001,0.001,0.985,0.999,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.991,0.983,0.002,0.002,0.984,0.998,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.512,0.014,0.828,0.828,0.493,0.531,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.511,0.014,0.829,0.829,0.492,0.53,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.954,0.932,0.008,0.008,0.94,0.968,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.953,0.931,0.009,0.009,0.939,0.967,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Low-Score Selection,Base-Relative,Base-relative,0.518,0.016,0.822,0.822,0.499,0.537,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Low-Score Selection,Base-Relative,Base-relative,0.517,0.015,0.823,0.823,0.498,0.536,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Low-Score Selection,CML+MTCR,CML+MTCR,0.971,0.95,0.004,0.004,0.957,0.985,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Low-Score Selection,CML+MTCR,CML+MTCR,0.97,0.948,0.005,0.005,0.956,0.984,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.529,0.021,0.81,0.81,0.51,0.548,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.528,0.02,0.81,0.81,0.509,0.547,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.996,0.994,0.002,0.002,0.989,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.995,0.994,0.002,0.002,0.988,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.52,0.018,0.816,0.816,0.501,0.539,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.519,0.018,0.816,0.816,0.5,0.538,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.982,0.971,0.004,0.004,0.968,0.996,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.981,0.97,0.004,0.004,0.967,0.995,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.501,0.01,0.856,0.856,0.482,0.52,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.5,0.01,0.856,0.856,0.481,0.519,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.949,0.917,0.007,0.007,0.935,0.963,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.948,0.915,0.007,0.007,0.934,0.962,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,Base-Relative,Base-relative,0.514,0.015,0.822,0.822,0.495,0.533,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,Base-Relative,Base-relative,0.513,0.015,0.822,0.822,0.494,0.532,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.975,0.959,0.005,0.005,0.961,0.989,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.974,0.957,0.005,0.005,0.96,0.988,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,Base-Relative,Base-relative,0.508,0.012,0.834,0.834,0.489,0.527,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,Base-Relative,Base-relative,0.508,0.012,0.834,0.834,0.489,0.527,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.962,0.942,0.006,0.006,0.948,0.976,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,style_rewrite,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Style Rewrite,CML+MTCR,CML+MTCR,0.961,0.941,0.006,0.006,0.947,0.975,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.527,0.02,0.812,0.812,0.508,0.546,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,Base-Relative,Base-relative,0.526,0.019,0.812,0.812,0.507,0.545,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.989,0.98,0.003,0.003,0.975,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,temperature_top_p,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Temperature/Top-p,CML+MTCR,CML+MTCR,0.988,0.979,0.003,0.003,0.974,1.0,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.51,0.013,0.83,0.83,0.491,0.529,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),Base-Relative,Base-relative,0.51,0.014,0.83,0.83,0.491,0.529,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.951,0.929,0.01,0.01,0.937,0.965,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,mixed_human_teacher,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Mixed Traces (50%),CML+MTCR,CML+MTCR,0.95,0.927,0.01,0.01,0.936,0.964,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Low-Score Selection,Base-Relative,Base-relative,0.516,0.015,0.824,0.824,0.497,0.535,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Low-Score Selection,Base-Relative,Base-relative,0.516,0.015,0.824,0.824,0.497,0.535,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Low-Score Selection,CML+MTCR,CML+MTCR,0.968,0.947,0.006,0.006,0.954,0.982,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,selective_low_score_traces,reported_summary,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Low-Score Selection,CML+MTCR,CML+MTCR,0.967,0.946,0.006,0.006,0.953,0.981,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.526,0.021,0.812,0.812,0.507,0.545,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),Base-Relative,Base-relative,0.526,0.02,0.813,0.813,0.507,0.545,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.991,0.989,0.004,0.004,0.984,0.998,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,identity_control,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Identity SFT (Naive),CML+MTCR,CML+MTCR,0.99,0.987,0.005,0.005,0.983,0.997,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.517,0.017,0.818,0.818,0.498,0.536,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,Base-Relative,Base-relative,0.516,0.017,0.819,0.819,0.497,0.535,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.977,0.965,0.006,0.006,0.963,0.991,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,paraphrase_second_model,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Paraphrase Rewrite,CML+MTCR,CML+MTCR,0.976,0.964,0.007,0.007,0.962,0.99,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.498,0.009,0.858,0.858,0.479,0.517,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,Base-Relative,Base-relative,0.497,0.009,0.859,0.859,0.478,0.516,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.944,0.911,0.009,0.009,0.93,0.958,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,answer_only_compression,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,Answer-Only SFT,CML+MTCR,CML+MTCR,0.943,0.91,0.01,0.01,0.929,0.957,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,Base-Relative,Base-relative,0.511,0.014,0.824,0.824,0.492,0.53,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,Base-Relative,Base-relative,0.51,0.014,0.825,0.825,0.491,0.529,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.97,0.953,0.007,0.007,0.956,0.984,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
adaptive_trace_transformation,cot_compression,reported_summary,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama,aggregate,CoT Compression,CML+MTCR,CML+MTCR,0.969,0.951,0.008,0.008,0.955,0.983,5,summary_threshold,pi_attachment_20260624,pi_pasted_text_results_20260624
