experiment,condition,dataset,task,student_base,true_teacher,true_lineage,candidate_set,pred_teacher,scenario,abstention_rate,false_attribution_rate,closed_set_accuracy,coverage,auroc,tpr_at_1pct_fpr,source_run_id,source_attachment
open_set_abstention,source_teacher_absent,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.953,0.011,,0.987,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.952,0.012,,0.987,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.941,0.014,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.941,0.015,,0.985,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.977,0.004,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.976,0.004,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,GSM8K,GSM8K,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.991,0.009,,0.991,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,GSM8K,GSM8K,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.991,0.01,,0.991,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.951,0.013,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.95,0.012,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.939,0.015,,0.983,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.939,0.016,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.975,0.006,,0.993,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.975,0.007,,0.994,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,MATH,MATH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.988,0.009,,0.989,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,MATH,MATH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.987,0.01,,0.989,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.946,0.014,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.944,0.013,,0.983,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.933,0.016,,0.98,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.933,0.017,,0.981,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.97,0.007,,0.991,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.968,0.006,,0.99,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,BBH,BBH,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.984,0.012,,0.988,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,BBH,BBH,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.981,0.01,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.939,0.015,,0.981,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.937,0.015,,0.979,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.926,0.017,,0.977,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.925,0.017,,0.976,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.963,0.008,,0.987,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.961,0.008,,0.986,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,ARC-Challenge,ARC-Challenge,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.975,0.011,,0.983,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,ARC-Challenge,ARC-Challenge,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.975,0.012,,0.983,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.932,0.016,,0.977,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,source_teacher_absent,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Source Teacher Absent,0.933,0.017,,0.978,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.922,0.02,,0.975,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,sibling_teacher_absent,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Sibling Teacher Absent,0.919,0.019,,0.973,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.957,0.009,,0.985,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,unrelated_capable_teacher_present,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Unrelated Teacher,0.956,0.01,,0.984,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,MBPP,MBPP,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.971,0.014,,0.981,,,pi_attachment_20260624,pi_pasted_text_results_20260624
open_set_abstention,public_model_decoy,MBPP,MBPP,Llama-3.1-8B,Llama-3.1-8B,Llama-3.1-8B,declared_candidate_set,abstain_or_declared_candidate,Public Decoy Present,0.969,0.013,,0.98,,,pi_attachment_20260624,pi_pasted_text_results_20260624
